P2Name,SomePlayer, ,HateThePlayer, ,ILikeTrainsKid, ,Playah, ,ShaoPlayer, ,Shopaholic, ,Swoosh, ,TyrionLannister, 
SomePlayer,138,154,157,256,59,233,86,322,95,233,129,220,88,230,115,285
HateThePlayer,122,67,220,260,152,214,135,334,184,149,52,187,84,209,123,251
ILikeTrainsKid,234,51,260,77,212,177,239,237,272,120,196,219,238,166,260,197
Playah,320,86,314,146,138,189,246,262,335,77,266,188,254,165,226,215
ShaoPlayer,199,103,184,225,77,247,114,305,124,215,135,171,138,195,135,255
Shopaholic,195,80,194,105,199,235,218,325,219,171,196,246,185,207,217,241
Swoosh,180,70,190,134,188,269,181,203,205,113,232,194,174,251,199,254
TyrionLannister,233,145,261,71,238,235,227,278,286,89,230,213,257,194,60,86
,,,,,,,,,,,,,,,,
SomePlayer,SomePlayer,138,154,,SomePlayer,867,756,1933,1621,,,,,,,
SomePlayer,HateThePlayer,157,256,,,,1623,,3554,-1931,,,,,,
SomePlayer,ILikeTrainsKid,59,233,,,,,,,,,,,,,
SomePlayer,Playah,86,322,,,,,,,,,,,,,
SomePlayer,ShaoPlayer,95,233,,,,,,,,,,,,,
SomePlayer,Shopaholic,129,220,,,,,,,,,,,,,
SomePlayer,Swoosh,88,230,,,,,,,,,,,,,
SomePlayer,TyrionLannister,115,285,,,,,,,,,,,,,
HateThePlayer,SomePlayer,122,67,,,,,,,,,,,,,
HateThePlayer,HateThePlayer,220,260,,,,,,,,,,,,,
HateThePlayer,ILikeTrainsKid,152,214,,,,,,,,,,,,,
HateThePlayer,Playah,135,334,,,,,,,,,,,,,
HateThePlayer,ShaoPlayer,184,149,,,,,,,,,,,,,
HateThePlayer,Shopaholic,52,187,,,,,,,,,,,,,
HateThePlayer,Swoosh,84,209,,,,,,,,,,,,,
HateThePlayer,TyrionLannister,123,251,,,,,,,,,,,,,
ILikeTrainsKid,SomePlayer,234,51,,,,,,,,,,,,,
ILikeTrainsKid,HateThePlayer,260,77,,,,,,,,,,,,,
ILikeTrainsKid,ILikeTrainsKid,212,177,,,,,,,,,,,,,
ILikeTrainsKid,Playah,239,237,,,,,,,,,,,,,
ILikeTrainsKid,ShaoPlayer,272,120,,,,,,,,,,,,,
ILikeTrainsKid,Shopaholic,196,219,,,,,,,,,,,,,
ILikeTrainsKid,Swoosh,238,166,,,,,,,,,,,,,
ILikeTrainsKid,TyrionLannister,260,197,,,,,,,,,,,,,
Playah,SomePlayer,320,86,,,,,,,,,,,,,
Playah,HateThePlayer,314,146,,,,,,,,,,,,,
Playah,ILikeTrainsKid,138,189,,,,,,,,,,,,,
Playah,Playah,246,262,,,,,,,,,,,,,
Playah,ShaoPlayer,335,77,,,,,,,,,,,,,
Playah,Shopaholic,266,188,,,,,,,,,,,,,
Playah,Swoosh,254,165,,,,,,,,,,,,,
Playah,TyrionLannister,226,215,,,,,,,,,,,,,
ShaoPlayer,SomePlayer,199,103,,,,,,,,,,,,,
ShaoPlayer,HateThePlayer,184,225,,,,,,,,,,,,,
ShaoPlayer,ILikeTrainsKid,77,247,,,,,,,,,,,,,
ShaoPlayer,Playah,114,305,,,,,,,,,,,,,
ShaoPlayer,ShaoPlayer,124,215,,,,,,,,,,,,,
ShaoPlayer,Shopaholic,135,171,,,,,,,,,,,,,
ShaoPlayer,Swoosh,138,195,,,,,,,,,,,,,
ShaoPlayer,TyrionLannister,135,255,,,,,,,,,,,,,
Shopaholic,SomePlayer,195,80,,,,,,,,,,,,,
Shopaholic,HateThePlayer,194,105,,,,,,,,,,,,,
Shopaholic,ILikeTrainsKid,199,235,,,,,,,,,,,,,
Shopaholic,Playah,218,325,,,,,,,,,,,,,
Shopaholic,ShaoPlayer,219,171,,,,,,,,,,,,,
Shopaholic,Shopaholic,196,246,,,,,,,,,,,,,
Shopaholic,Swoosh,185,207,,,,,,,,,,,,,
Shopaholic,TyrionLannister,217,241,,,,,,,,,,,,,
Swoosh,SomePlayer,180,70,,,,,,,,,,,,,
Swoosh,HateThePlayer,190,134,,,,,,,,,,,,,
Swoosh,ILikeTrainsKid,188,269,,,,,,,,,,,,,
Swoosh,Playah,181,203,,,,,,,,,,,,,
Swoosh,ShaoPlayer,205,113,,,,,,,,,,,,,
Swoosh,Shopaholic,232,194,,,,,,,,,,,,,
Swoosh,Swoosh,174,251,,,,,,,,,,,,,
Swoosh,TyrionLannister,199,254,,,,,,,,,,,,,
TyrionLannister,SomePlayer,233,145,,,,,,,,,,,,,
TyrionLannister,HateThePlayer,261,71,,,,,,,,,,,,,
TyrionLannister,ILikeTrainsKid,238,235,,,,,,,,,,,,,
TyrionLannister,Playah,227,278,,,,,,,,,,,,,
TyrionLannister,ShaoPlayer,286,89,,,,,,,,,,,,,
TyrionLannister,Shopaholic,230,213,,,,,,,,,,,,,
TyrionLannister,Swoosh,257,194,,,,,,,,,,,,,
TyrionLannister,TyrionLannister,60,86,,,,,,,,,,,,,
