P2Name,,HateThePlayer, ,ILikeTrainsKid, ,Playah, ,ShaoPlayer, ,Shopaholic, ,Swoosh, ,TyrionLannister
HateThePlayer,112,263,63,199,134,339,197,230,45,212,79,210,109,273
ILikeTrainsKid,223,53,249,132,250,190,254,64,225,189,218,158,200,177
Playah,253,204,312,203,257,340,336,62,314,185,286,156,235,253
ShaoPlayer,182,207,164,238,54,316,51,234,59,222,201,195,243,219
Shopaholic,177,71,139,218,203,187,125,105,219,204,226,162,203,256
Swoosh,213,84,197,201,177,231,194,199,209,203,135,227,188,211
TyrionLannister,256,126,161,235,278,268,240,168,246,184,278,171,76,79
,,,,,,,,,,,,,,
HateThePlayer,HateThePlayer,112,263,,,p1 Score,p2 Score,p1 Against,p2 Against,Total for,Total against,NET,,
HateThePlayer,ILikeTrainsKid,63,199,,HateThePlayer,739,1008,1726,1416,1747,3142,-1395,,
HateThePlayer,Playah,134,339,,ILikeTrainsKid,1619,1426,963,1285,3045,2248,797,,
HateThePlayer,ShaoPlayer,197,230,,Playah,1993,1871,1403,1353,3864,2756,1108,,
HateThePlayer,Shopaholic,45,212,,ShaoPlayer,954,1062,1631,1397,2016,3028,-1012,,
HateThePlayer,Swoosh,79,210,,Shopaholic,1292,1399,1203,1317,2691,2520,171,,
HateThePlayer,TyrionLannister,109,273,,Swoosh,1313,1279,1356,1423,2592,2779,-187,,
ILikeTrainsKid,HateThePlayer,223,53,,TyrionLannister,1535,1468,1231,1254,3003,2485,518,,
ILikeTrainsKid,ILikeTrainsKid,249,132,,,,,,,,,,,
ILikeTrainsKid,Playah,250,190,,Playah,1108,2,,,,,,,
ILikeTrainsKid,ShaoPlayer,254,64,,ILikeTrainsKid,797,2,,,,,,,
ILikeTrainsKid,Shopaholic,225,189,,TyrionLannister,518,2,,,,,,,
ILikeTrainsKid,Swoosh,218,158,,Shopaholic,171,1.5,,,,,,,
ILikeTrainsKid,TyrionLannister,200,177,,Swoosh,-187,1,,,,,,,
Playah,HateThePlayer,253,204,,ShaoPlayer,-1012,1,,,,,,,
Playah,ILikeTrainsKid,312,203,,HateThePlayer,-1395,0.5,,,,,,,
Playah,Playah,257,340,,,,,,,,,,,
Playah,ShaoPlayer,336,62,,,,,,,,,,,
Playah,Shopaholic,314,185,,,,,,,,,,,
Playah,Swoosh,286,156,,,,,,,,,,,
Playah,TyrionLannister,235,253,,,,,,,,,,,
ShaoPlayer,HateThePlayer,182,207,,,,,,,,,,,
ShaoPlayer,ILikeTrainsKid,164,238,,,,,,,,,,,
ShaoPlayer,Playah,54,316,,,,,,,,,,,
ShaoPlayer,ShaoPlayer,51,234,,,,,,,,,,,
ShaoPlayer,Shopaholic,59,222,,,,,,,,,,,
ShaoPlayer,Swoosh,201,195,,,,,,,,,,,
ShaoPlayer,TyrionLannister,243,219,,,,,,,,,,,
Shopaholic,HateThePlayer,177,71,,,,,,,,,,,
Shopaholic,ILikeTrainsKid,139,218,,,,,,,,,,,
Shopaholic,Playah,203,187,,,,,,,,,,,
Shopaholic,ShaoPlayer,125,105,,,,,,,,,,,
Shopaholic,Shopaholic,219,204,,,,,,,,,,,
Shopaholic,Swoosh,226,162,,,,,,,,,,,
Shopaholic,TyrionLannister,203,256,,,,,,,,,,,
Swoosh,HateThePlayer,213,84,,,,,,,,,,,
Swoosh,ILikeTrainsKid,197,201,,,,,,,,,,,
Swoosh,Playah,177,231,,,,,,,,,,,
Swoosh,ShaoPlayer,194,199,,,,,,,,,,,
Swoosh,Shopaholic,209,203,,,,,,,,,,,
Swoosh,Swoosh,135,227,,,,,,,,,,,
Swoosh,TyrionLannister,188,211,,,,,,,,,,,
TyrionLannister,HateThePlayer,256,126,,,,,,,,,,,
TyrionLannister,ILikeTrainsKid,161,235,,,,,,,,,,,
TyrionLannister,Playah,278,268,,,,,,,,,,,
TyrionLannister,ShaoPlayer,240,168,,,,,,,,,,,
TyrionLannister,Shopaholic,246,184,,,,,,,,,,,
TyrionLannister,Swoosh,278,171,,,,,,,,,,,
TyrionLannister,TyrionLannister,76,79,,,,,,,,,,,
